"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","10-Jun-2020","       1772.10","       1784.00","       1820.00","       1782.00","       1810.55","       1809.30","       1799.91","    4631195","          8335723847.15","     193292","    1667357","         36.00"
"HDFC","EQ","11-Jun-2020","       1809.30","       1805.00","       1826.00","       1781.35","       1790.00","       1787.45","       1798.66","    5383998","          9683993674.05","     185203","    2136500","         39.68"
"HDFC","EQ","12-Jun-2020","       1787.45","       1710.00","       1809.00","       1710.00","       1790.00","       1792.20","       1758.75","    5936632","         10441025680.15","     233124","    2276907","         38.35"
"HDFC","EQ","15-Jun-2020","       1792.20","       1786.95","       1805.25","       1726.00","       1752.00","       1751.65","       1752.20","    5082387","          8905360147.80","     179412","    2185364","         43.00"
"HDFC","EQ","16-Jun-2020","       1751.65","       1785.00","       1834.00","       1768.05","       1820.00","       1821.90","       1810.53","    7453412","         13494649113.70","     246998","    2260956","         30.33"
"HDFC","EQ","17-Jun-2020","       1821.90","       1819.00","       1847.15","       1786.00","       1793.40","       1794.65","       1819.98","    6816822","         12406472037.00","     192356","    2096323","         30.75"
"HDFC","EQ","18-Jun-2020","       1794.65","       1790.00","       1869.00","       1787.30","       1847.50","       1855.95","       1830.89","    5334835","          9767504641.65","     189444","    1702301","         31.91"
"HDFC","EQ","19-Jun-2020","       1855.95","       1854.00","       1867.50","       1814.00","       1840.30","       1835.10","       1836.92","   12199449","         22409404203.05","     226788","    5491173","         45.01"
"HDFC","EQ","22-Jun-2020","       1835.10","       1850.80","       1874.20","       1813.10","       1820.50","       1819.40","       1838.07","    4782899","          8791308097.80","     179418","    1646583","         34.43"
"HDFC","EQ","23-Jun-2020","       1819.40","       1820.00","       1845.00","       1803.05","       1843.15","       1838.10","       1822.13","    5043383","          9189697465.95","     209547","     768228","         41.53"
"HDFC","EQ","24-Jun-2020","       1838.10","       1825.00","       1869.00","       1788.60","       1797.65","       1797.75","       1836.40","    7029207","         12908465796.75","     190784","    3073015","         43.72"
"HDFC","EQ","25-Jun-2020","       1797.75","       1782.20","       1811.00","       1761.90","       1775.95","       1777.80","       1786.92","    5939864","         10614080664.35","     206434","    2192872","         36.92"
"HDFC","EQ","26-Jun-2020","       1777.80","       1793.85","       1799.90","       1752.40","       1772.00","       1769.35","       1769.13","    5731517","         10139812236.95","     156336","    2233127","         38.96"
"HDFC","EQ","29-Jun-2020","       1769.35","       1755.00","       1775.00","       1726.25","       1742.75","       1741.15","       1738.95","    3948941","          6867005319.55","     116201","    2033047","         51.48"
"HDFC","EQ","30-Jun-2020","       1741.15","       1751.15","       1792.70","       1747.20","       1761.00","       1754.65","       1771.08","    6325246","         11202532937.30","     180511","    2913361","         46.06"
"HDFC","EQ","01-Jul-2020","       1754.65","       1764.00","       1844.80","       1760.40","       1836.80","       1835.15","       1814.94","    6991685","         12689494939.75","     227684","    2657770","         38.01"
"HDFC","EQ","02-Jul-2020","       1835.15","       1852.95","       1899.00","       1842.60","       1892.85","       1889.45","       1876.73","    6480519","         12162214411.75","     202734","    2693464","         41.56"
"HDFC","EQ","03-Jul-2020","       1889.45","       1905.55","       1908.00","       1867.30","       1883.00","       1885.20","       1884.90","    4430264","          8350618471.40","     150339","    1589559","         35.88"
"HDFC","EQ","06-Jul-2020","       1885.20","       1903.25","       1909.25","       1864.55","       1871.55","       1868.70","       1890.70","    5073705","          9592857012.80","     130366","    2302588","         45.38"
"HDFC","EQ","07-Jul-2020","       1868.70","       1880.00","       1892.35","       1857.00","       1883.85","       1886.75","       1880.18","    4157365","          7816606426.80","     132982","    1900526","         45.71"
"HDFC","EQ","08-Jul-2020","       1886.75","       1895.00","       1907.00","       1871.00","       1872.00","       1886.05","       1892.99","    2885754","          5462703206.50","     112635","    1363265","         47.24"
"HDFC","EQ","09-Jul-2020","       1886.05","       1871.30","       1947.90","       1865.00","       1944.50","       1941.85","       1929.50","    6703324","         12934045670.75","     174261","    2533960","         37.80"
"HDFC","EQ","10-Jul-2020","       1941.85","       1915.00","       1931.90","       1876.25","       1888.50","       1886.00","       1899.85","    3853348","          7320788674.45","     153438","    1503402","         39.02"
"HDFC","EQ","13-Jul-2020","       1886.00","       1905.00","       1907.20","       1840.00","       1853.65","       1845.55","       1862.45","    3403604","          6339056787.25","     163322","    1301324","         38.23"
"HDFC","EQ","14-Jul-2020","       1845.55","       1825.00","       1825.30","       1770.50","       1793.10","       1791.60","       1792.02","    5529793","          9909526728.75","     212015","    2344446","         42.40"
"HDFC","EQ","15-Jul-2020","       1791.60","       1809.00","       1821.90","       1782.00","       1797.00","       1789.90","       1803.21","    3994980","          7203769834.40","     147688","    1893738","         47.40"
"HDFC","EQ","16-Jul-2020","       1789.90","       1792.00","       1794.70","       1750.00","       1790.00","       1787.80","       1774.16","    4230162","          7504975484.90","     154071","    1932130","         45.68"
"HDFC","EQ","17-Jul-2020","       1787.80","       1800.00","       1821.95","       1784.05","       1812.05","       1805.85","       1806.59","    4240987","          7661742109.05","     113416","    1907129","         44.97"
"HDFC","EQ","20-Jul-2020","       1805.85","       1844.00","       1844.00","       1801.00","       1804.05","       1806.05","       1816.19","    3915997","          7112184282.85","     142802","    1566257","         40.00"
"HDFC","EQ","21-Jul-2020","       1806.05","       1816.50","       1900.95","       1815.00","       1887.00","       1883.65","       1869.58","    6884035","         12870275135.15","     236947","    2441562","         35.47"
"HDFC","EQ","22-Jul-2020","       1883.65","       1895.50","       1898.95","       1851.50","       1897.70","       1881.05","       1872.11","    5538884","         10369413956.80","     199916","    2993093","         54.04"
"HDFC","EQ","23-Jul-2020","       1881.05","       1881.05","       1910.00","       1871.60","       1872.25","       1875.80","       1891.88","    3647242","          6900158053.60","     121783","    1383497","         37.93"
"HDFC","EQ","24-Jul-2020","       1875.80","       1854.00","       1857.80","       1817.00","       1841.00","       1841.30","       1834.05","    3309356","          6069531974.80","     148129","    1143925","         34.57"
"HDFC","EQ","27-Jul-2020","       1841.30","       1841.30","       1861.95","       1824.00","       1853.00","       1850.75","       1842.36","    3724639","          6862134768.10","     166745","    1718505","         46.14"
"HDFC","EQ","28-Jul-2020","       1850.75","       1859.35","       1907.00","       1844.50","       1892.00","       1897.35","       1876.95","    4346193","          8157568543.65","     175005","    2221432","         51.11"
"HDFC","EQ","29-Jul-2020","       1897.35","       1885.00","       1918.50","       1867.20","       1879.65","       1877.30","       1890.21","    7413828","         14013720596.85","     202540","    4500440","         60.70"
"HDFC","EQ","30-Jul-2020","       1877.30","       1880.00","       1900.70","       1804.00","       1804.95","       1810.65","       1848.21","    7473426","         13812489030.95","     243718","    2500083","         33.45"
"HDFC","EQ","31-Jul-2020","       1810.65","       1805.00","       1811.20","       1759.00","       1786.50","       1781.95","       1783.75","    7746014","         13816965912.60","     234358","    3017062","         38.95"
"HDFC","EQ","03-Aug-2020","       1781.95","       1781.00","       1781.95","       1730.10","       1744.00","       1739.80","       1756.06","    4648927","          8163809657.20","     199001","    2400935","         51.64"
"HDFC","EQ","04-Aug-2020","       1739.80","       1749.00","       1794.45","       1743.40","       1783.85","       1781.10","       1773.16","    4722583","          8373874927.85","     201026","    2186015","         46.29"
"HDFC","EQ","05-Aug-2020","       1781.10","       1784.40","       1811.50","       1766.25","       1780.00","       1776.70","       1787.48","    5576455","          9967784417.55","     166848","    2552512","         45.77"
"HDFC","EQ","06-Aug-2020","       1776.70","       1798.25","       1805.70","       1762.05","       1778.45","       1783.75","       1784.36","    6004624","         10714415040.60","     169297","    2640217","         43.97"
"HDFC","EQ","07-Aug-2020","       1783.75","       1774.95","       1781.80","       1763.00","       1779.90","       1777.70","       1773.89","    5129995","          9100051953.15","     146649","    3082806","         60.09"
"HDFC","EQ","10-Aug-2020","       1777.70","       1794.00","       1811.00","       1789.30","       1796.60","       1798.95","       1800.45","    3030917","          5457022247.20","     102333","    1519312","         50.13"
"HDFC","EQ","11-Aug-2020","       1798.95","       1813.00","       1846.75","       1810.50","       1829.00","       1826.75","       1834.41","    4944312","          9069914818.50","     167219","    2587133","         52.33"
"HDFC","EQ","12-Aug-2020","       1826.75","       1825.75","       1837.70","       1802.00","       1821.00","       1814.20","       1820.21","    3606317","          6564247309.35","     129657","    1935742","         53.68"
"HDFC","EQ","13-Aug-2020","       1814.20","       1818.50","       1823.65","       1799.55","       1810.00","       1804.85","       1807.52","    3769538","          6813503042.60","     129725","    2218181","         58.84"
"HDFC","W3","13-Aug-2020","        180.00","        310.20","        339.00","        299.00","        300.00","        299.95","        311.50","     984600","           306700320.00","        653","     859800","         87.32"
"HDFC","EQ","14-Aug-2020","       1804.85","       1818.60","       1823.75","       1773.25","       1793.75","       1791.70","       1796.65","    6136766","         11025637096.85","     186319","    3852136","         62.77"
"HDFC","W3","14-Aug-2020","        299.95","        300.00","        320.00","        300.00","        309.95","        309.00","        310.64","     521400","           161968230.00","        349","     503400","         96.55"
"HDFC","EQ","17-Aug-2020","       1791.70","       1805.00","       1807.85","       1783.85","       1801.95","       1800.55","       1795.17","    4076960","          7318829944.15","     148103","    2699991","         66.23"
"HDFC","W3","17-Aug-2020","        309.00","        315.00","        319.50","        312.00","        314.95","        315.40","        315.02","     233400","            73526400.00","         87","     231000","         98.97"
"HDFC","EQ","18-Aug-2020","       1800.55","       1801.10","       1825.40","       1795.95","       1819.05","       1820.70","       1813.53","    3413536","          6190549505.40","     141811","    1913561","         56.06"
"HDFC","W3","18-Aug-2020","        315.40","        319.90","        325.00","        319.90","        321.20","        322.25","        322.27","     149400","            48147360.00","        174","     144000","         96.39"
"HDFC","EQ","19-Aug-2020","       1820.70","       1835.00","       1835.90","       1818.05","       1827.55","       1827.95","       1828.01","    2934730","          5364712976.60","      85358","    1671178","         56.94"
"HDFC","W3","19-Aug-2020","        322.25","        325.00","        329.00","        323.00","        324.90","        323.25","        324.84","      57000","            18515910.00","         77","      53400","         93.68"
